,Unnamed: 0.1,Unnamed: 0,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AWARD,SEASON
29,29,29,2798,Horace Jenkins,Horace,1610612765,DET,30.0,15,11,4,0.733,101.52,15,45,0.333,0,9,0.0,12,13,0.923,3,6,9,9,7,5,1,8,6,0,42,-16,77.3,0,0,72.0,53,40,9,6,52,46,46,56,40,30,40,44,46,6,54,54,54,46,50,46,50,28,14,8,46,31,50,23,2,49,0,2004-05
30,30,30,2825,Ibrahim Kutluay,Ibrahim,1610612760,SEA,31.0,5,4,1,0.8,10.9,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,0,0,1,0,0,-17,-0.8,0,0,1.0,63,54,3,3,67,67,67,67,40,54,40,66,66,66,64,64,66,64,59,60,56,1,3,8,68,32,70,23,2,69,0,2004-05
31,31,31,2747,JR Smith,JR,1610612740,NOH,19.0,76,18,58,0.237,1863.5216666666668,295,748,0.394,81,281,0.288,111,161,0.689,39,113,152,142,109,55,11,39,135,0,782,-400,1266.4,0,0,1289.0,14,26,68,52,10,5,3,44,3,2,23,12,11,32,25,21,22,10,12,11,24,61,51,8,5,69,12,23,2,12,0,2004-05
32,32,32,2866,Jackie Butler,Jackie,1610612752,NYK,20.0,3,2,1,0.667,4.388333333333334,4,4,1.0,0,0,0.0,2,2,1.0,0,0,0,0,1,1,0,0,0,0,10,1,12.0,0,0,12.0,67,61,3,8,69,60,65,1,40,54,40,58,60,1,64,68,69,64,63,56,56,1,1,8,60,18,63,23,2,63,0,2004-05
33,33,33,2761,Jackson Vroman,Jackson,1610612740,NOH,24.0,46,12,34,0.261,706.105,82,199,0.412,0,3,0.0,48,75,0.64,64,111,175,40,64,25,19,22,105,1,212,-65,550.0,2,0,515.0,27,37,50,50,29,28,25,38,40,38,40,25,24,41,16,22,21,27,20,25,16,46,46,1,28,54,28,12,2,27,0,2004-05
34,34,34,2749,Jameer Nelson,Jameer,1610612753,ORL,23.0,79,34,45,0.43,1614.9766666666667,286,628,0.455,44,141,0.312,73,107,0.682,52,141,193,237,117,78,3,39,199,0,689,-111,1402.1,1,0,1325.0,11,14,59,36,13,6,7,20,6,6,21,18,18,35,20,17,19,3,10,3,44,61,61,8,10,59,10,14,2,11,2,2004-05
35,35,35,2839,James Thomas,James,1610612737,ATL,24.0,11,2,9,0.182,113.18166666666669,12,20,0.6,0,0,0.0,2,6,0.333,17,20,37,4,7,4,4,1,13,0,26,-52,93.4,0,0,83.0,55,61,19,61,50,49,55,3,40,54,40,58,53,64,35,46,44,49,50,48,38,13,19,8,52,52,46,23,2,46,0,2004-05
36,36,36,2876,Jared Reiner,Jared,1610612741,CHI,23.0,19,8,11,0.421,131.77666666666667,10,30,0.333,0,0,0.0,1,4,0.25,13,25,38,1,9,3,7,4,35,0,21,-20,89.1,0,0,80.0,49,48,23,38,47,51,49,56,40,54,40,61,57,65,40,45,43,59,47,50,31,23,28,8,55,37,47,23,2,47,0,2004-05
37,37,37,2823,John Edwards,John,1610612754,IND,23.0,25,13,12,0.52,133.39,11,30,0.367,0,0,0.0,7,14,0.5,8,11,19,3,8,3,4,2,12,0,29,-70,69.3,0,0,65.0,43,35,24,29,46,50,49,50,40,54,40,46,45,57,46,49,48,51,49,50,38,18,17,8,49,55,51,23,2,51,0,2004-05
38,38,38,2735,Josh Childress,Josh,1610612737,ATL,22.0,80,12,68,0.15,2371.7716666666665,302,642,0.47,13,56,0.232,190,231,0.823,195,287,482,151,106,74,35,75,184,0,807,-441,1832.9,12,0,1671.0,8,37,70,64,4,4,6,18,19,16,36,4,6,9,3,6,3,7,13,7,10,68,59,8,4,70,5,3,2,6,2,2004-05
39,39,39,2746,Josh Smith,Josh,1610612737,ATL,19.0,74,11,63,0.149,2049.9416666666666,274,602,0.455,4,23,0.174,163,237,0.688,147,310,457,127,135,59,144,35,157,0,715,-376,1927.9,10,0,1709.0,17,40,69,65,6,9,8,21,26,24,39,7,5,33,6,5,5,12,4,10,1,57,56,8,8,68,4,4,2,5,2,2004-05
40,40,40,2770,Justin Reed,Justin,1610612738,BOS,23.0,23,9,14,0.391,114.775,15,29,0.517,0,3,0.0,11,15,0.733,8,8,16,10,5,3,1,1,12,0,41,14,82.2,0,0,75.0,46,45,28,45,49,46,51,10,40,38,40,45,44,24,46,52,51,45,53,50,50,13,17,8,47,13,48,23,2,48,0,2004-05
41,41,41,2755,Kevin Martin,Kevin,1610612758,SAC,22.0,45,28,17,0.622,458.13666666666666,45,117,0.385,5,25,0.2,36,55,0.655,29,29,58,22,24,16,3,9,35,0,131,16,266.6,0,0,254.0,28,17,33,14,35,34,36,47,24,23,38,30,29,40,26,41,37,38,34,35,44,33,28,8,33,12,39,23,2,39,0,2004-05
42,42,42,2745,Kirk Snyder,Kirk,1610612762,UTA,22.0,68,23,45,0.338,900.3616666666667,122,328,0.372,30,85,0.353,64,96,0.667,50,71,121,36,58,26,19,25,116,0,338,-141,614.2,0,0,615.0,20,20,59,47,22,22,22,48,10,11,15,21,21,38,22,28,25,30,22,24,16,51,47,8,22,61,24,23,2,23,0,2004-05
43,43,43,2743,Kris Humphries,Kris,1610612762,UTA,20.0,67,17,50,0.254,869.0166666666667,116,287,0.404,2,6,0.333,44,101,0.436,73,124,197,43,52,25,18,35,96,0,278,-168,655.9,1,0,606.0,22,27,65,51,23,23,23,40,33,33,17,27,20,63,14,20,18,26,26,25,20,57,43,8,23,62,23,14,2,24,0,2004-05
44,44,44,2763,Lionel Chalmers,Lionel,1610612746,LAC,24.0,36,15,21,0.417,424.3616666666667,42,125,0.336,12,49,0.245,15,24,0.625,4,27,31,51,24,13,0,10,30,0,111,-47,239.7,0,0,231.0,34,32,38,39,38,38,33,55,20,20,35,41,40,43,52,44,46,23,34,38,56,34,27,8,38,49,40,23,2,40,0,2004-05
45,45,45,2784,Luis Flores,Luis,1610612743,DEN,24.0,16,3,13,0.188,74.34166666666667,14,29,0.483,5,10,0.5,2,2,1.0,1,2,3,11,11,2,0,4,9,0,35,22,50.1,0,0,58.0,51,58,26,59,54,48,51,15,24,29,3,58,60,1,58,60,61,44,45,54,56,23,16,8,48,11,54,23,2,52,0,2004-05
46,46,46,2739,Luke Jackson,Luke,1610612739,CLE,23.0,10,5,5,0.5,43.083333333333336,10,27,0.37,4,6,0.667,5,6,0.833,2,4,6,3,2,0,0,0,4,0,29,-18,38.7,0,0,42.0,56,52,12,30,58,51,53,49,26,33,2,50,53,8,56,56,56,51,59,60,56,1,10,8,49,34,57,23,2,55,0,2004-05
47,47,47,2736,Luol Deng,Luol,1610612741,CHI,20.0,61,36,25,0.59,1661.07,280,645,0.434,31,117,0.265,120,162,0.741,92,230,322,135,118,48,27,48,98,0,711,159,1406.9,3,0,1349.0,24,11,42,17,11,8,5,31,9,8,29,10,10,20,10,8,9,11,9,14,12,65,45,8,9,1,9,8,2,10,1,2004-05
48,48,48,2435,Mario Kasun,Mario,1610612753,ORL,25.0,45,19,26,0.422,351.37666666666667,47,98,0.48,0,1,0.0,24,43,0.558,52,76,128,8,26,8,13,12,86,0,118,-24,320.6,0,0,296.0,28,24,44,37,41,33,40,16,40,50,40,32,32,52,20,26,24,47,31,45,23,37,41,8,35,39,34,23,2,34,0,2004-05
49,49,49,2891,Mark Jones,Mark,1610612753,ORL,30.0,10,2,8,0.2,115.14833333333333,9,31,0.29,0,4,0.0,5,10,0.5,6,7,13,6,3,5,2,2,16,0,23,5,65.6,0,0,56.0,56,61,18,56,48,55,47,63,40,35,40,50,49,57,50,53,52,48,56,46,47,18,21,8,54,17,52,23,2,54,0,2004-05
50,50,50,2588,Matt Bonner,Matt,1610612761,TOR,25.0,82,33,49,0.402,1545.0366666666666,247,463,0.533,39,92,0.424,56,71,0.789,108,177,285,48,40,39,19,18,220,1,589,-44,1137.0,0,0,1077.0,1,15,63,44,14,11,13,7,8,10,7,22,25,11,9,12,11,25,28,17,16,44,66,1,12,47,14,23,2,13,0,2004-05
51,51,51,2782,Matt Freije,Matt,1610612740,NOH,23.0,23,3,20,0.13,436.9683333333333,37,127,0.291,14,54,0.259,5,8,0.625,16,45,61,20,17,13,2,8,40,0,93,-81,224.2,1,0,218.0,46,58,35,67,36,40,32,62,17,18,30,50,52,43,36,35,36,39,39,38,47,28,30,8,41,56,41,14,2,41,0,2004-05
52,52,52,2486,Maurice Baker,Maurice,1610612757,POR,25.0,5,1,4,0.2,19.17,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,1,1,0,0,3,0,0,9,5.9,0,0,5.0,63,66,9,56,63,67,67,67,40,54,40,66,66,66,58,64,63,59,63,56,56,1,8,8,68,15,67,23,2,67,0,2004-05
53,53,53,2420,Nenad Krstic,Nenad,1610612751,NJN,21.0,75,40,35,0.533,1967.5666666666664,281,570,0.493,0,2,0.0,185,255,0.725,161,240,401,77,112,32,63,77,280,1,747,72,1516.7,9,0,1415.0,16,9,52,27,8,7,10,13,40,43,40,5,4,26,4,7,6,17,11,22,4,69,70,1,6,8,7,5,2,7,2,2004-05
54,54,54,2555,Nick Collison,Nick,1610612760,SEA,24.0,82,52,30,0.634,1397.3666666666666,189,353,0.535,0,3,0.0,83,118,0.703,155,220,375,32,62,34,50,47,252,0,461,95,1149.0,4,0,1036.0,1,3,47,11,15,14,21,6,40,38,40,15,16,28,5,9,8,31,21,21,7,64,69,8,18,6,13,7,2,14,0,2004-05
55,55,55,2776,Pape Sow,Pape,1610612761,TOR,23.0,27,11,16,0.407,251.91666666666663,23,58,0.397,0,0,0.0,16,27,0.593,18,39,57,2,10,12,4,13,46,0,62,1,171.4,0,0,153.0,42,40,31,42,44,45,45,43,40,54,40,40,37,48,34,37,38,56,46,41,38,40,34,8,45,18,44,23,2,44,0,2004-05
56,56,56,2750,Pavel Podkolzin,Pavel,1610612742,DAL,20.0,5,4,1,0.8,7.581666666666667,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,2,0,0,0,4,0,1,-3,1.4,0,0,3.0,63,54,3,3,68,67,70,67,40,54,40,61,60,57,64,60,63,64,59,60,56,1,10,8,67,23,69,23,2,68,0,2004-05
57,57,57,2762,Peter John Ramos,Peter John,1610612764,WAS,20.0,6,1,5,0.167,19.57,5,10,0.5,0,0,0.0,1,2,0.5,1,3,4,0,3,0,1,2,4,0,11,-3,15.8,0,0,17.0,61,66,12,62,62,58,60,12,40,54,40,61,60,57,58,58,59,64,56,60,50,18,10,8,59,23,60,23,2,60,0,2004-05
58,58,58,2624,Quinton Ross,Quinton,1610612746,LAC,24.0,78,36,42,0.462,1638.1833333333334,161,373,0.432,1,4,0.25,74,110,0.673,59,151,210,109,54,51,22,35,165,0,397,-212,977.5,0,0,863.0,12,11,58,32,12,20,18,32,34,35,33,17,17,36,17,15,17,14,24,13,15,57,58,8,21,66,19,23,2,21,0,2004-05
59,59,59,2737,Rafael Araujo,Rafael,1610612761,TOR,24.0,59,24,35,0.407,735.595,76,175,0.434,1,3,0.333,43,55,0.782,59,126,185,16,52,21,8,12,157,0,196,-48,477.0,0,0,456.0,25,19,52,43,28,29,29,30,34,38,17,29,29,12,17,19,20,41,26,31,29,37,56,8,29,50,29,23,2,29,0,2004-05
60,60,60,2741,Robert Swift,Robert,1610612760,SEA,19.0,16,10,6,0.625,69.68833333333333,5,11,0.455,0,0,0.0,5,9,0.556,1,4,5,2,4,1,7,0,16,0,15,-33,44.0,0,0,38.0,51,43,14,12,56,58,58,22,40,54,40,50,50,53,58,56,57,56,55,56,31,1,21,8,56,42,55,23,2,57,0,2004-05
61,61,61,2767,Royal Ivey,Royal,1610612737,ATL,23.0,62,9,53,0.145,813.5316666666666,85,198,0.429,3,9,0.333,47,67,0.701,19,65,84,103,58,39,7,24,140,0,220,-51,555.3,0,0,502.0,23,45,66,66,26,27,26,33,29,30,17,26,26,29,32,32,31,15,22,17,31,50,53,8,27,51,27,23,2,28,0,2004-05
62,62,62,2756,Sasha Vujacic,Sasha,1610612747,LAL,21.0,35,12,23,0.343,402.43666666666667,33,117,0.282,17,63,0.27,18,19,0.947,13,49,62,51,15,12,2,15,41,0,101,14,278.9,0,0,259.0,35,37,40,46,39,43,36,64,13,14,27,38,41,5,40,34,35,23,41,41,47,42,31,8,40,13,38,23,2,38,0,2004-05
63,63,63,2742,Sebastian Telfair,Sebastian,1610612757,POR,20.0,68,19,49,0.279,1330.14,169,430,0.393,17,69,0.246,105,133,0.789,10,94,104,224,125,35,4,30,120,0,460,-191,912.8,3,0,883.0,20,24,63,49,17,19,14,45,13,12,34,13,14,10,45,23,28,4,6,20,38,54,48,8,19,65,20,8,2,19,0,2004-05
64,64,64,2733,Shaun Livingston,Shaun,1610612746,LAC,19.0,30,13,17,0.433,820.0233333333333,89,215,0.414,0,2,0.0,44,59,0.746,22,67,89,151,75,32,11,10,82,0,222,-17,609.3,1,0,548.0,38,35,33,35,25,26,24,37,40,43,40,27,28,18,31,30,30,7,17,22,24,34,40,8,26,32,25,14,2,26,0,2004-05
65,65,65,2754,Tony Allen,Tony,1610612738,BOS,23.0,77,42,35,0.545,1254.4733333333334,184,387,0.475,12,31,0.387,112,152,0.737,85,136,221,64,77,76,24,31,156,0,492,136,1076.2,0,0,989.0,13,8,52,25,18,15,17,17,20,22,10,11,12,21,13,18,14,20,15,6,13,55,55,8,13,3,16,23,2,15,0,2004-05
66,66,66,2800,Tony Bobbitt,Tony,1610612747,LAL,25.0,2,0,2,0.0,11.933333333333334,2,5,0.4,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,0,1,0,5,-1,8.6,0,0,9.0,69,68,7,68,66,63,64,42,34,43,3,66,66,66,64,58,61,64,68,60,56,1,3,8,66,21,65,23,2,65,0,2004-05
67,67,67,2772,Trevor Ariza,Trevor,1610612752,NYK,20.0,80,33,47,0.413,1380.631666666667,172,389,0.442,3,13,0.231,121,174,0.695,89,153,242,85,73,70,18,32,150,0,468,-26,1076.9,1,0,974.0,8,15,62,41,16,17,16,26,29,26,37,9,9,30,11,14,13,16,18,8,20,56,54,8,17,40,15,14,2,16,0,2004-05
68,68,68,2751,Viktor Khryapa,Viktor,1610612757,POR,22.0,32,6,26,0.188,529.0633333333334,54,124,0.435,4,11,0.364,23,42,0.548,28,80,108,25,33,20,18,10,80,0,135,-124,383.1,0,0,348.0,36,49,44,59,30,32,34,27,26,27,12,33,33,54,28,25,27,36,29,33,20,34,39,8,32,60,31,23,2,32,0,2004-05
69,69,69,2657,Yuta Tabuse,Yuta,1610612756,PHX,24.0,4,4,0,1.0,17.283333333333335,1,6,0.167,1,1,1.0,4,4,1.0,2,2,4,3,1,0,0,0,1,0,7,-2,15.3,0,0,15.0,66,54,1,1,64,66,62,66,34,50,1,54,57,1,56,60,59,51,63,60,56,1,3,8,63,22,62,23,2,61,0,2004-05
0,0,0,101223,Aaron Miles,Aaron,1610612744,GSW,23.0,19,13,6,0.684,118.12333333333332,6,18,0.333,0,0,0.0,4,4,1.0,0,14,14,24,11,4,1,3,13,7,16,-4,72.8,0,0,64.0,60,46,15,11,66,71,73,74,53,61,53,68,72,1,81,63,66,32,51,58,58,22,21,68,74,25,66,23,2,66,0,2005-06
1,1,1,101187,Alan Anderson,Alan,1610612766,CHA,23.0,36,7,29,0.194,563.6,75,181,0.414,24,58,0.414,33,41,0.805,23,47,70,32,32,11,4,18,48,39,207,7,352.0,0,0,363.0,39,64,59,80,28,29,27,45,16,17,7,32,36,21,33,37,37,27,30,36,40,63,48,33,28,14,32,23,2,31,0,2005-06
2,2,2,101165,Alex Acker,Alex,1610612765,DET,23.0,5,3,2,0.6,35.10666666666667,4,16,0.25,1,5,0.2,0,0,0.0,1,4,5,4,4,1,0,2,4,1,9,-33,20.0,0,0,21.0,78,76,5,20,77,77,74,78,48,48,44,77,78,77,75,74,76,69,72,73,63,14,6,79,78,48,77,23,2,78,0,2005-06
3,3,3,2637,Alex Scales,Alex,1610612759,SAS,27.0,1,1,0,1.0,0.1533333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,85,80,1,1,85,83,84,83,53,61,53,77,78,77,81,82,83,79,82,78,63,1,1,82,83,18,84,23,2,84,0,2005-06
4,4,4,101161,Amir Johnson,Amir,1610612765,DET,19.0,3,1,2,0.333,38.766666666666666,7,10,0.7,2,3,0.667,4,4,1.0,3,1,4,3,4,0,2,0,7,2,20,-22,31.3,0,0,33.0,80,80,5,62,76,70,77,3,39,50,1,68,72,1,67,81,78,71,72,78,51,1,11,76,71,41,75,23,2,75,0,2005-06
5,5,5,101154,Andray Blatche,Andray,1610612764,WAS,19.0,29,16,13,0.552,175.48166666666663,26,67,0.388,3,13,0.231,10,12,0.833,12,26,38,10,12,5,7,5,36,10,65,-10,149.6,0,0,140.0,43,37,35,25,51,47,48,65,34,35,38,54,60,16,44,43,44,47,48,52,29,35,42,57,49,32,47,23,2,47,0,2005-06
6,6,6,101261,Andre Owens,Andre,1610612762,UTA,25.0,23,8,15,0.348,210.04166666666663,27,74,0.365,3,16,0.188,12,18,0.667,11,10,21,8,13,5,0,13,25,16,69,-32,108.2,0,0,111.0,50,62,42,60,48,46,45,69,34,32,46,49,49,50,47,65,60,54,45,52,63,55,36,48,47,47,57,23,2,52,0,2005-06
7,7,7,101106,Andrew Bogut,Andrew,1610612749,MIL,21.0,82,40,42,0.488,2348.13,323,606,0.533,0,3,0.0,122,194,0.629,189,384,573,192,125,49,68,55,259,229,768,77,1969.6,12,0,1767.0,1,3,68,39,4,5,7,10,53,50,53,8,6,57,1,1,1,8,4,9,1,81,85,3,6,2,4,3,2,4,1,2005-06
8,8,8,101115,Andrew Bynum,Andrew,1610612747,LAL,18.0,46,29,17,0.63,338.32166666666666,33,82,0.402,0,0,0.0,8,27,0.296,34,46,80,9,17,4,22,16,56,23,74,-47,244.5,0,0,215.0,33,15,48,14,42,39,40,53,53,61,53,58,40,75,26,38,36,50,39,58,9,59,50,38,43,59,38,23,2,39,0,2005-06
9,9,9,101219,Anthony Grundy,Anthony,1610612737,ATL,27.0,12,5,7,0.417,108.00666666666666,19,38,0.5,5,15,0.333,9,14,0.643,1,16,17,9,9,7,0,1,14,12,52,29,97.9,0,0,97.0,72,72,19,50,68,60,60,14,29,33,18,57,55,55,75,59,64,50,56,42,63,9,25,50,56,4,60,23,2,60,0,2005-06
10,10,10,101194,Anthony Roberson,Anthony,1610612763,MEM,23.0,16,11,5,0.688,88.31166666666667,14,31,0.452,5,10,0.5,2,2,1.0,0,6,6,5,3,1,0,2,6,4,35,-1,49.7,0,0,53.0,65,53,12,10,70,65,66,28,29,39,3,74,75,1,81,73,75,65,75,73,63,14,8,71,66,19,72,23,2,71,0,2005-06
11,11,11,101120,Antoine Wright,Antoine,1610612751,NJN,22.0,39,24,15,0.615,370.1666666666667,29,81,0.358,1,15,0.067,11,22,0.5,8,22,30,12,21,4,3,7,42,19,70,-76,124.0,0,0,127.0,36,26,42,16,39,41,41,71,48,33,52,52,46,68,53,48,51,44,37,58,46,41,46,43,45,67,51,23,2,49,0,2005-06
12,12,12,101178,Arvydas Macijauskas,Arvydas,1610612740,NOK,26.0,19,5,14,0.263,134.51666666666668,14,41,0.341,3,12,0.25,13,15,0.867,3,7,10,5,8,7,0,4,10,12,44,-7,76.5,0,0,76.0,60,72,38,77,64,65,59,72,34,37,34,47,53,12,67,71,71,65,59,42,63,28,15,50,62,28,65,23,2,65,0,2005-06
13,13,13,101238,Boniface Ndong,Boniface,1610612746,LAC,28.0,23,14,9,0.609,151.53833333333333,22,53,0.415,0,1,0.0,6,9,0.667,15,22,37,7,6,2,5,3,23,10,50,-44,119.9,0,0,108.0,50,40,24,17,56,53,54,42,53,58,53,63,65,50,43,48,46,57,66,68,35,22,35,57,58,57,52,23,2,54,0,2005-06
14,14,14,101152,Bracey Wright,Bracey,1610612750,MIN,21.0,7,1,6,0.143,135.10333333333332,21,51,0.412,6,17,0.353,14,16,0.875,3,15,18,5,8,1,0,3,8,11,62,-10,86.1,0,0,93.0,76,80,15,83,62,55,57,46,26,29,16,44,51,11,67,62,63,65,59,73,63,22,14,55,50,32,63,23,2,62,0,2005-06
15,15,15,101138,Brandon Bass,Brandon,1610612740,NOK,21.0,29,14,15,0.483,268.4033333333333,28,70,0.4,0,0,0.0,12,19,0.632,18,50,68,3,11,3,7,9,18,19,68,-50,173.1,0,0,159.0,43,40,42,41,43,44,46,54,53,61,53,49,48,56,38,35,38,71,51,62,29,48,30,43,48,61,43,23,2,44,0,2005-06
16,16,16,101139,CJ Miles,CJ,1610612762,UTA,19.0,23,7,16,0.304,202.8383333333333,28,76,0.368,5,20,0.25,18,24,0.75,18,20,38,16,9,7,2,6,20,18,79,-1,166.6,0,0,156.0,50,64,45,72,49,44,44,68,29,26,34,39,43,34,38,55,44,39,56,42,51,37,31,46,41,19,44,23,2,45,0,2005-06
17,17,17,101112,Channing Frye,Channing,1610612752,NYK,23.0,65,19,46,0.292,1572.355,305,640,0.477,3,9,0.333,189,229,0.825,138,236,374,53,97,30,47,31,200,169,802,-48,1464.3,3,0,1386.0,21,34,73,74,11,6,5,21,34,41,18,2,3,18,3,6,6,21,12,20,5,72,76,5,5,60,7,10,2,7,1,2005-06
18,18,18,101111,Charlie Villanueva,Charlie,1610612761,TOR,21.0,81,26,55,0.321,2361.0066666666667,435,940,0.463,70,214,0.327,113,160,0.706,181,340,521,88,99,60,63,44,247,147,1053,-37,2080.2,12,0,1978.0,2,17,84,67,3,1,2,23,6,6,24,11,8,43,2,2,2,13,11,5,2,79,84,8,2,51,3,3,2,2,1,2005-06
19,19,19,101108,Chris Paul,Chris,1610612740,NOK,21.0,78,35,43,0.449,2808.475,407,947,0.43,50,177,0.282,394,465,0.847,61,339,400,611,183,175,6,66,218,403,1258,-181,3014.5,21,2,2681.0,11,9,70,47,1,2,1,36,10,9,29,1,1,15,13,3,3,1,1,1,32,85,80,1,1,83,1,1,1,1,1,2005-06
20,20,20,101147,Chris Taft,Chris,1610612744,GSW,21.0,17,9,8,0.529,143.91166666666666,23,38,0.605,0,0,0.0,1,6,0.167,19,17,36,2,2,2,6,2,25,3,47,11,115.2,0,0,101.0,64,59,22,29,60,49,60,7,53,61,53,76,69,76,36,57,48,75,77,68,32,14,36,74,60,8,53,23,2,57,0,2005-06
21,21,21,101236,Chuck Hayes,Chuck,1610612745,HOU,23.0,40,19,21,0.475,535.1883333333334,59,105,0.562,0,1,0.0,29,45,0.644,67,112,179,14,12,26,14,16,76,46,147,81,490.8,1,0,420.0,35,34,52,43,29,32,34,9,53,58,53,36,32,54,11,20,17,43,48,24,15,59,55,30,32,1,28,15,2,28,0,2005-06
22,22,22,101137,Daniel Ewing,Daniel,1610612746,LAC,23.0,66,39,27,0.591,971.1533333333332,97,255,0.38,22,78,0.282,36,46,0.783,23,62,85,84,57,37,6,9,86,41,252,-60,552.0,0,0,529.0,20,4,56,21,24,26,23,67,17,15,30,30,31,26,33,33,34,14,22,16,32,48,58,32,26,66,26,23,2,25,0,2005-06
23,23,23,101122,Danny Granger,Danny,1610612754,IND,23.0,78,39,39,0.5,1765.335,221,478,0.462,30,93,0.323,115,148,0.777,131,253,384,90,80,58,62,35,211,139,587,-57,1462.8,6,0,1331.0,11,4,65,33,8,11,12,24,12,12,25,10,11,28,4,5,4,12,17,8,3,75,78,9,12,65,8,6,2,8,2,2005-06
24,24,24,101135,David Lee,David,1610612752,NYK,23.0,67,21,46,0.313,1128.5233333333333,137,229,0.598,0,0,0.0,71,123,0.577,108,194,302,43,51,30,20,22,124,96,345,-106,870.9,4,0,790.0,18,29,73,69,21,20,25,8,53,61,53,21,15,65,7,9,7,24,25,20,13,67,68,16,22,76,19,8,2,21,0,2005-06
25,25,25,101184,Deng Gai,Deng,1610612755,PHI,24.0,2,0,2,0.0,4.7683333333333335,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,82,84,5,84,83,83,84,83,53,61,53,77,78,77,81,82,83,79,82,78,63,1,1,82,83,24,84,23,2,84,0,2005-06
26,26,26,101114,Deron Williams,Deron,1610612762,UTA,22.0,80,39,41,0.488,2306.633333333333,339,805,0.421,91,219,0.416,95,135,0.704,35,159,194,359,145,60,17,63,233,157,864,-103,1721.3,5,0,1662.0,3,4,66,40,6,4,4,40,3,4,6,15,12,44,25,13,15,3,3,5,14,84,83,7,4,75,5,7,2,5,1,2005-06
27,27,27,2583,Derrick Zimmerman,Derrick,1610612751,NJN,24.0,2,0,2,0.0,31.883333333333333,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,7,4,0,0,0,4,1,4,-11,15.3,0,0,15.0,82,84,5,84,79,79,79,4,53,61,53,77,78,77,75,75,78,57,72,78,63,1,6,79,79,34,79,23,2,79,0,2005-06
28,28,28,101209,Devin Green,Devin,1610612747,LAL,23.0,27,13,14,0.481,134.61333333333334,6,28,0.214,0,2,0.0,13,21,0.619,10,14,24,7,5,3,0,4,13,12,25,-43,68.3,0,0,62.0,46,46,38,42,63,71,69,81,53,55,53,47,47,62,50,63,58,57,68,62,63,28,21,50,70,56,67,23,2,67,0,2005-06
29,29,29,101159,Dijon Thompson,Dijon,1610612756,PHX,23.0,10,8,2,0.8,42.52666666666666,11,25,0.44,4,11,0.364,2,2,1.0,4,7,11,1,2,3,1,1,6,3,28,-12,52.7,0,0,52.0,74,62,5,5,75,68,71,35,32,38,12,74,75,1,63,71,70,78,77,62,58,9,8,74,68,36,71,23,2,72,0,2005-06
30,30,30,101182,Donell Taylor,Donell,1610612764,WAS,23.0,51,27,24,0.529,465.23,53,136,0.39,4,17,0.235,30,43,0.698,16,37,53,45,34,30,4,8,47,29,140,8,339.1,0,0,310.0,31,16,53,29,34,34,32,62,32,29,37,34,34,49,41,40,39,23,28,20,40,45,47,36,34,12,33,23,2,33,0,2005-06
31,31,31,101204,Dwayne Jones,Dwayne,1610612738,BOS,23.0,14,7,7,0.5,86.51333333333334,4,10,0.4,0,0,0.0,6,13,0.462,10,21,31,2,3,1,3,2,14,10,14,20,63.2,0,0,55.0,69,64,19,33,71,77,77,54,53,61,53,63,57,71,50,52,49,75,75,73,46,14,25,57,75,6,68,23,2,70,0,2005-06
32,32,32,2853,Earl Barron,Earl,1610612748,MIA,24.0,8,4,4,0.5,44.873333333333335,5,16,0.313,0,0,0.0,3,4,0.75,2,8,10,0,5,0,0,1,10,4,13,-33,20.0,0,0,23.0,75,74,11,33,74,75,74,76,53,61,53,71,72,34,73,69,71,79,68,78,63,9,15,71,76,48,77,23,2,77,0,2005-06
