,Unnamed: 0.1,Unnamed: 0,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AWARD,SEASON
33,33,33,2208,Kedrick Brown,Kedrick,1610612738,BOS,21.0,29,17,12,0.586,245.14166666666668,23,70,0.329,5,27,0.185,12,20,0.6,11,39,50,15,7,18,7,3,18,0,63,-5,213.5,0,0,183.0,40,34,27,13,41,43,41,61,20,18,31,44,41,53,47,34,42,39,53,27,33,17,21,16,43,22,40,23,2,40,0,2001-02
34,34,34,2261,Kenny Satterfield,Kenny,1610612743,DEN,21.0,36,11,25,0.306,559.8583333333333,73,199,0.367,7,27,0.259,36,46,0.783,17,35,52,108,53,31,1,21,43,0,189,-60,456.4,1,0,420.0,35,41,40,51,28,29,27,53,18,18,23,29,29,13,39,39,39,12,20,16,50,43,37,16,28,52,28,16,2,28,0,2001-02
35,35,35,2213,Kirk Haston,Kirk,1610612766,CHH,23.0,15,11,4,0.733,77.25,11,39,0.282,0,3,0.0,4,8,0.5,5,15,20,5,3,0,1,4,9,0,26,-14,57.5,0,0,53.0,54,41,4,3,58,55,51,64,34,36,34,56,55,60,53,50,50,52,58,61,50,21,11,16,56,28,59,23,2,58,0,2001-02
36,36,36,2198,Kwame Brown,Kwame,1610612764,WAS,20.0,57,26,31,0.456,817.1,94,243,0.387,0,1,0.0,70,99,0.707,63,135,198,43,43,16,26,28,105,0,258,-85,643.1,2,0,583.0,26,18,52,35,26,26,24,45,34,44,34,19,19,34,19,20,20,25,27,31,20,50,48,16,24,55,25,10,2,26,0,2001-02
37,37,37,1910,Leon Smith,Leon,1610612737,ATL,21.0,14,5,9,0.357,100.71666666666668,10,26,0.385,0,0,0.0,11,17,0.647,10,21,31,3,3,5,1,3,12,0,31,7,87.7,0,0,77.0,56,56,17,43,56,56,55,46,34,51,34,47,47,48,48,47,47,61,58,47,50,17,17,16,53,17,53,23,2,54,0,2001-02
38,38,38,2254,Loren Woods,Loren,1610612750,MIN,24.0,60,41,19,0.683,515.7033333333334,33,96,0.344,0,2,0.0,44,60,0.733,46,76,122,22,36,17,34,8,60,0,110,-37,406.4,0,0,356.0,25,7,35,6,29,38,37,57,34,39,34,25,26,28,23,25,25,32,29,28,15,29,39,16,37,44,30,23,2,30,0,2001-02
39,39,39,2124,Malik Allen,Malik,1610612748,MIA,24.0,12,4,8,0.333,160.835,22,51,0.431,0,1,0.0,8,10,0.8,15,23,38,5,2,3,8,4,16,0,52,-8,136.1,1,0,117.0,58,58,15,45,46,45,46,25,34,44,34,50,51,9,41,45,45,52,64,51,32,21,18,16,47,24,46,16,2,46,0,2001-02
40,40,40,2230,Maurice Evans,Maurice,1610612750,MIN,23.0,10,5,5,0.5,42.96,9,19,0.474,0,3,0.0,3,4,0.75,3,1,4,4,2,0,0,1,9,0,21,-2,29.8,0,0,29.0,61,56,6,30,63,59,61,13,34,36,34,63,63,23,55,68,67,58,64,61,59,5,11,16,60,20,62,23,2,62,0,2001-02
41,41,41,2370,Mengke Bateer,Mengke,1610612743,DEN,26.0,27,9,18,0.333,407.62666666666667,53,132,0.402,4,12,0.333,29,37,0.784,32,64,96,22,32,10,5,14,94,0,139,-53,300.2,0,0,291.0,43,47,33,45,33,32,31,39,22,25,10,30,31,12,30,28,29,32,30,36,41,39,46,16,32,50,34,23,2,33,0,2001-02
42,42,42,2214,Michael Bradley,Michael,1610612761,TOR,23.0,26,16,10,0.615,117.65,13,25,0.52,0,2,0.0,4,8,0.5,7,17,24,3,6,0,6,2,10,0,30,-44,75.3,0,0,69.0,44,38,19,10,53,52,57,4,34,39,34,56,55,60,50,48,49,61,54,61,38,13,13,16,54,46,56,23,2,55,0,2001-02
